Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Naive Bayes,0.9559121285535386,0.018109187749667112,0.4594594594594595,0.034844991032539074,0.7081165050389506
Random Forest,0.9347050080170406,0.007615593834995467,0.28378378378378377,0.014833127317676144,0.6098091203343563
Decision Tree,0.9344124152944068,0.006690777576853526,0.25,0.013032758013384995,0.5927999882759832
Logistic Regression,0.8272181454302868,0.006550070902829361,0.6554054054054054,0.012970515477702747,0.7414608362392523
ANN,0.81252999075407,0.00646846622714268,0.7027027027027027,0.012818932577345002,0.7577116303829475
