Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Naive Bayes,0.9549524244232998,0.017973430580880436,0.46621621621621623,0.0346124905944319,0.7110083367264327
Random Forest,0.9350444155752958,0.008372770294867127,0.3108108108108108,0.0163062743707905,0.6234691840559711
Decision Tree,0.9345879709279871,0.006708975521305531,0.25,0.013067278827476603,0.5928879184008442
Logistic Regression,0.8269372564165584,0.006539472797141509,0.6554054054054054,0.012949736332688071,0.741320148039475
ANN,0.835633112133235,0.00639386189258312,0.6081081081081081,0.01265466816647919,0.7220680056338653
