Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Naive Bayes,0.9561110916049296,0.017933618843683084,0.4527027027027027,0.0345005149330587,0.7048436428104052
Random Forest,0.9345060449656496,0.007592190889370932,0.28378378378378377,0.014788732394366197,0.6097094661928474
Decision Tree,0.9337336001778964,0.006797853309481216,0.25675675675675674,0.013245033112582781,0.5958325081632427
Logistic Regression,0.8273585899371511,0.006555382847874569,0.6554054054054054,0.012980930076948812,0.7415311803391409
ANN,0.8078836183186452,0.005712549377089031,0.6351351351351351,0.011323254833463832,0.7216592493777557
