Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Naive Bayes,0.9549524244232998,0.017973430580880436,0.46621621621621623,0.0346124905944319,0.7110083367264327
Random Forest,0.9350561192842012,0.008195228555818612,0.30405405405405406,0.015960276644795178,0.6201025296942407
ANN,0.8681928303079246,0.007532789790854307,0.5743243243243243,0.014870538838348496,0.7215135309411058
Decision Tree,0.9347050080170406,0.006900308698020701,0.25675675675675674,0.013439434129089302,0.596319054854139
Logistic Regression,0.8269372564165584,0.006539472797141509,0.6554054054054054,0.012949736332688071,0.741320148039475
