Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,0.9995201479348805,0.9572649572649573,0.7567567567567568,0.8452830188679246,0.8783490683367581
ANN,0.9994616293903538,0.9396551724137931,0.7364864864864865,0.8257575757575758,0.8682022091849748
Decision Tree,0.9991807403766253,0.7785714285714286,0.7364864864864865,0.7569444444444444,0.8680615209851976
Logistic Regression,0.9991456292499094,0.8504672897196262,0.6148648648648649,0.7137254901960784,0.8073386402992476
Naive Bayes,0.9780087309668434,0.06043676993397664,0.8040540540540541,0.11242324043457723,0.891182311627531
