Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,0.9994616293903538,0.8923076923076924,0.7837837837837838,0.8345323741007195,0.8918098237753552
ANN,0.9990637032875719,0.717948717948718,0.7567567567567568,0.7368421052631579,0.8781204500121202
Decision Tree,0.9970974801914727,0.34076433121019106,0.722972972972973,0.46320346320346323,0.8602730507634078
Logistic Regression,0.9777278419531149,0.06451612903225806,0.8783783783783784,0.12020342117429496,0.9281393034983515
Naive Bayes,0.9761829523776084,0.057665260196905765,0.831081081081081,0.10784743533537922,0.9037579038091964
