Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Naive Bayes,0.9559004248446332,0.01810436634717785,0.4594594594594595,0.03483606557377049,0.7081106430306265
Random Forest,0.9349273784862423,0.007283321194464676,0.2702702702702703,0.014184397163120567,0.6031754657524045
Logistic Regression,0.8270659972145172,0.006544326001889084,0.6554054054054054,0.012959251837007349,0.7413846301310396
ANN,0.8287513312968879,0.006474035709418019,0.6418918918918919,0.012818782890298206,0.7354837265895945
Decision Tree,0.9331367110237234,0.006561447065082462,0.25,0.012787281838603767,0.5921610293686618
